name,ops,image_url,youtube_url,Unnamed: 4,Human Needs_Observer,Human Needs_Decider,Human Needs_Preferences,Letter_Observer,Letter_Decider,Animal_Energy Animal,Animal_Info Animal,Animal_Dominant Animal,Sexual Modality_Sensory,Sexual Modality_Extraverted Decider
Geena Davis,MF-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/LaQcJ-A2zZVZ71BnSglT0Q/oqS3oB98YLIppkM4OPA3lKTGXdnnTufP8L0pGtcpg_Osq53fTw8IS-ZXnXPdcqUWTdQOEU3UTBLmaNWFQ2XKTw/u4RmIqsCc068dhcP2jDzyhFwkHhnlz1Q01jOB0WPGQE,https://www.youtube.com//watch?v=oPOzN3v1McI,,Oe,De,DD,Te,Se,Play,Blast,Energy,M,F
Sarah Close,MF-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/PvSZ82XSJwG56p-YGy4d8g/Tu5PMQ8f5UqzTOl89rkwlVtOUOmGrJh0apxnLUsu7VN8RrpipLtAY3gawDScFdo1_IFJYzDTJEE4umE0fERPIQ/A5lUh_yxjpWzYYFsmjtmHT0m178LKZDgEKgaRVmu2kQ,https://www.youtube.com//watch?v=OvHa1emtLcY,,Oe,De,DD,Te,Se,Play,Blast,Energy,M,F
Fay Willow,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Nddz3wpZU6fWLhB9FQE7fQ/TA9iomzXkgjgNFwYgtbKYu44w8IU0Rrm5JGaTnjoY71uT1-NcGFwbdSxPz4bFv-i8Y-epD6dKs5LR_GPuZxIFA/Ue1tRH0Sot4xw60PZOFRKZodQn-_2vKASB6xHeD9zYs,https://www.youtube.com//watch?v=A_RJxWfpsWg,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Teal Swan,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/WJehPwCZbWJkBKaR5F6zqg/NblPPWkLRouJ7ZOCsNSbzHD8xyclHrtb8aAUQjlNr0TflgJ4sCl6Z1mAO_DpkOagv0GKRB2OlwAorrNxAfeZsQ/hbLBIIvopkUW1udQaCa9u8wQZfSnjNkNvZKv_ruM8IU,https://www.youtube.com//watch?v=83hqbwNpVhY,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Amanda Knox,FM-Te/Se-PB/S(C),,https://www.youtube.com//watch?v=erla7Ley4Tw,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Amanda Peet,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Rx297PBRJLrqgnRH0O0IAg/Xr36yUuA2keQi_cHJvNkifwYvOWZwdV3YtKrUUhea7ISsjkjUFvZm2y0Oby8C8LaAMwzGkKNvsU-Fs_JjcinTw/uRIkvz4gfQs_14DmkCBnhEWrdhcleGPfhgiXPMEocxQ,https://www.youtube.com//watch?v=Oy8PWk7kYRo,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Jessica Chastain,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/2dFlHDB4maf26lCjwp9lIQ/Hz65A8VHXYjyCZICC8Kmm7M7OGKSh1JQxmw5kKOw4MhqToo5hmmRVj95vWOrFQX0ZN00Zeok1iS97D58quKT_Q/_-SQXoNzJyQyiYqdIQWnzAam-qcZmDrJJXsiF9IwEIE,https://www.youtube.com//watch?v=aUWG7stga14,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Melissa Fish,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/A3j13OezdIiypMyj8Lu7vQ/qDnWQi7gSTikGDSUQqE2TS66gNgTik0NCOp7ILsOplHoHVmJzU-AJcw7IxWeIZuyjEUO_KZgyIIuWDBvgF4KGA/uLER3vsSV0MoK1kYPHjkbFN-XEBjXZARE0tFymMUduM,https://www.youtube.com//watch?v=J1KbsuX1SE0,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Savannah Koskovich,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/ruWN40ENjbCnXBlHRBgJRw/9VBw9Z1yjh7-I49MlZ3sJ1VvDioEklBak4ObA33Lc_mf683kibF4bNiY-kYPHQVPY0GLXNhRGMy_VrBW7zzSTw/c4_OqHZAeqVBKAinZJ_evAgNC44rIL3Hv7GVBzTu_4w,https://www.youtube.com//watch?v=LJ17TZP_bzk,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Shan Boodram,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/1wIuYJHq7WQZe3YVLV4wfA/xCG6T9jOGcec_9oT_JSg0rELS-5-TGqTFj8RenkYkn9g3FfRT-BOpUZaaX9N1_mJ8czBo02Y7GvA5cj31-PR8w/vzfFX0dNDTWebQ2LO1Na_eqv9Rq-Pd7ZG2ZiQU6dNa0,https://www.youtube.com//watch?v=1vY4ZPSbDEE,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Syren Cove,FM-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/zL-nI-04-f6-Wbim_GPegg/skSuSsAjwp_oZSnNmbli1hdmzz-E5ZIJSYmi8MDYfqDo29LSDdN-HUj8oYWEE1EQI_SL1Hnf2mXxUOGM_7KeBA/oXiLnSCibMj_si1rVFrAxsCtiSCgz3z2Aq0yleVa-NI,https://www.youtube.com//watch?v=VEkVuQrE75U,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,M
Rachel Ramsey Cruze,FF-Te/Se-PB/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/UsrF0OQD8RfEiMwzXAZpvw/6AbtMPoMSAl61g8vGY-N2FaG3gAfDZH0wQq4fjn9yL67jubXnEaxtdD_xih76cBD_YtimTG37d2y9ANh1OO7ag/QsobxFEnNK4Z40GdpSJl0GtgIuLRCYP2Ukgz6Y-V7hM,https://www.youtube.com//watch?v=cNZOYc-F97I,,Oe,De,DD,Te,Se,Play,Blast,Energy,F,F
Chelsea Handler,MM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/foZgkKFRB1xXmsPCwMCW1w/I3_6xVJ_v2h0OGQReF9oWsBbyXsoykTSmb_zY7CmhgyyR9r6Fliiq21n7GQk8JVwNEfl02_GACGLme85UX_4Vg/B_mOS54Dgc_lcEfTmDPqnYzZyaHZWaao0EKBifs9Mzw,https://www.youtube.com//watch?v=9KPjMfHZvW8,,Oe,De,DD,Te,Se,Play,Blast,Info,M,M
Mo'Nique,MM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/DVdk79AS19QNMAziCWkoJw/I_LAxy-JzOHJJATw0C8jM-kl0uVCRtC-HOWTeFSaoiHdoOrwdSY267ZFWOzF9z-ov-UjX9BKHzF1M8wcgkVvoQ/yN1ainrA5rM3-yZEOSStQJHAwLzVbjCxwMoIKdJapv4,https://www.youtube.com//watch?v=0uesb0FDi5c,,Oe,De,DD,Te,Se,Play,Blast,Info,M,M
Tony Robbins,MM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/xob3sHy5RkT5eoAj9Hvzxw/p6s6MkQh0LWQUSVmMRhZBwGO4u_GWqy4jm2IGP0sxfHVWq9T15WGJcNLhb7zs2VBbLDcLVL9gZ3kNvMUetvFlA/QAk_6xDu9OkkIm6y_oVF7EBRhS4zb-qiJXxVn3gQE2k,https://www.youtube.com//watch?v=QyXR3eYLd6Q,,Oe,De,DD,Te,Se,Play,Blast,Info,M,M
Chris Distefano,MF-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/5H_BaECTcukVd_r3maHqVg/Of-ipzp6BT8IWaPzBCqCqVJEPJ0MrUYGNMQvnZ1fkFhCrGIHnigKmwC0fZZLD9HsIOgP3na9DjdwPB5OiCMupA/yEEqz6_O0oBSBnw2vA7nQU0yH4ATm5RHJtIBJ_M9-0s,https://www.youtube.com//watch?v=B84uLSBNsg8,,Oe,De,DD,Te,Se,Play,Blast,Info,M,F
Larry Miller,MF-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/JIfH1sx52EWuvCcKOkRD8g/L6GFqnEAmk2zbZFqwT9O3DChbveqhn9Y_JcVPUX-fjUiG2X-0ruGf832fFb4VaQyJVVx4HNRVM8K0yDdREU3Rw/qy2iq3FfjUuDMOc3dT-30k9JxD8e7E60Dz3S1kCaVTc,https://www.youtube.com//watch?v=z5H7S6pq-o4,,Oe,De,DD,Te,Se,Play,Blast,Info,M,F
Will Sasso,MF-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/F4cgo-A1US1ZvY2p1jF49g/PKyU4jY3TnvETbh15m3ddUIjE1FXE-qLXHNv0ncTVi4jWxer2TVO0jeKHqVsv8vKmLbLM8bYbXuj1XNFOAEY4g/YRrrOOKmm6NFnFbJCuteNRRM8ZVhh5pj5KrJJ5Wv_Co,https://www.youtube.com//watch?v=S1o24hvcNNs,,Oe,De,DD,Te,Se,Play,Blast,Info,M,F
Ali Larter,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/1DZZsoJNNQVmaNQbtNIgKQ/XOMa30tR66LN-j4_Hj9Z3OUAvwBSeSmyn9KFFWua93zv_cga4DZbegOiXovyGp_6T7UuUL3uioIua4YYFHvwnw/YyX_YiOmzLuiIvmZYl0-WFH1jfhvFYpgHFlgnQWfvCA,https://www.youtube.com//watch?v=tPwJ2QrCKLY,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Andrea Albright,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/NLgFpODx715LHx18lt-7qw/dTEvYbCNPzef34wgyVDo_cw5syMSkT_kpec_k-_z1_wkNbrUuHEr0sDIwj7X_yGa6SWJXpxa-SnUrCpyDmJ2Dg/7q8bNNftCKt1KalzsF-r4ix8HySyr7uyoo1Xk0j2Ebk,https://www.youtube.com//watch?v=qrwXFKRO79k,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Beth Ostrosky,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/FXnl6bFXNHpM6oUevY0iFA/y5VjlCrAhMAkOlroqxSQdO_Amn6KKfy8g1hz2Y8O_YSQ8ZUVUCKJTsnSiolXYFZIYy-5iwuZIidvebewP7YWFA/1gI2mmWGQNM7epq2bcVampfUF0lATFX3IMdnEixjZuk,https://www.youtube.com//watch?v=scj5xNdimLY,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Brooke Burns,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/b8BSy8t2hLwL56bqCagvpg/Sv_OLCBwtAaVHl9-4eXN4P7iTl9jrP5cUlQ5Sbsycl9HYAKNU2sCLOaTuWyrn2bI2P68ezTOkWVPO8pAVFoBDA/bhAhTH45GyPwat-DdlCrDjdxCFKAVzXoYwy1atKbumI,https://www.youtube.com//watch?v=FdYrbm3vLI4,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Erin Sanderson,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/dtLRcP12_GnU3sGK8CwSdg/JCVmuTWSLRYWCWBYWL9feMRaXDHASkApQAEpqpwthm1zJivaUz3AayCZLRlJcU1lp1OMXL78EFosbfEJwZjVSg/t-T3Z-JTm2toOeWaTq-hKezz8uz4BV9AThAqiVD3Xmw,https://www.youtube.com//watch?v=B2WVEla34Tk,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Jaclyn Hill,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/ch9hxgKmGC5qAdDBvFg70A/zkIA79piIyCiTO_8FFxRpV2cIiNqo6GNb4td35BKblR3sVOfxoC-Oh5OYKyt8ol8QJ1kEr7a1Hs6fIQMJaNZEQ/qv9biSR0ImfX_Q4xeVdyz-Ulua3rAeYSnuK4qsmnS2I,https://www.youtube.com//watch?v=ZI0KYUNtMSI,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Kathy Griffin,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/een8ESMqUXyRKvzVD6dviA/QZKdH6JuPlfDG8YklOwkS3L18uSDXOWEHErTp67J3PLfZv7eB6x6TLpPYsyqpP_AqiUbcDWBanItiF38C6Lzig/_bf949DBZ-G5GkZQ0fUJdYVg4nh1OL0VeNGgRviyd_k,https://www.youtube.com//watch?v=YZ9MRq1oSog,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Ladee Lyon,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/UyGAs8Vtuw0Ho7O-eIVQVw/QCcMaz4nEsQNOruKvs3jkUe8sfmL0I_53zLgyJ0DFH4BSLIyzdZ3EoLIAe8nflkj7xny2zPq8ws9QcG_i6-rqw/2A0mBXy9ahWkc9VJRWKncm3wJK5KSGoJC0C87KARvus,https://www.youtube.com//watch?v=TuEh_jE8W68,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Marilu Henner,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/y_BkFAZ7iYE3DQuUvoe__Q/G3mq1IEjSBMHoHvG3iIXRz6wOhDFt64SBihHIzd7er5VBBSIQOj0UNgd2E7HJ7JWDNphDgnCzNR8oRoxlue4xw/4nJw86ikzVLg0cZ6N9QYKBkSPGlYC3OfrsrZ1xenxwk,https://www.youtube.com//watch?v=43NhmOtBe9I,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Melanie Duncan,FM-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/F7RmZm1Iuo4C56oHWLHf-Q/UQtj9tXzWCuCmbM7HnDbsTb_yHGkeZu9j-RNqvs-1xhrd_p0N216zE2JQFU5c7I3wyLWqST2QbFgMCZDRu28ew/WOKLAPCo7H7CCCJSfpr3W1qvdb2siKB4XASFaV2zuow,https://www.youtube.com//watch?v=EDUiQSI4qOQ,,Oe,De,DD,Te,Se,Play,Blast,Info,F,M
Graveyardgirl,FF-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Gyd0C-4ttpz2Ocaep5bF4g/j6xj_yz8SWP1u5FFXuueYoUi5SuBnuK9yf8VloqQS5c0FPCYoDhaNic5b_ssc2X5byhfnQGcTb09-zD5XRFGaA/KWvcKCXaBFdR2JcpkXb5ecH8dPcvNIBbJVejNEwcoGc,https://www.youtube.com//watch?v=L6suY0iCWrM,,Oe,De,DD,Te,Se,Play,Blast,Info,F,F
Gregory Allan Paul,FF-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/_ZNcvX7xveudwpUuVr6HOA/bEbksYEN-FSY-gBPbux784pfUn48Mbkyj5A_c3coRLvTytDR_Gr8DIKeFWz6-eEhHQgbeloqGBIafb7l-SDpCQ/rpOnaXcCFGs10UK9AAaAqzUwP38JM2pHaSGUZ74KsHA,https://www.youtube.com//watch?v=I-Vj_N5q0Bk,,Oe,De,DD,Te,Se,Play,Blast,Info,F,F
Jim Carrey,FF-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/igvnkVA1Y1JTXJLZzfcDhw/kPL5UkArlrv730aU3LJfMZaP23xZrcoHJqNfSUUYpbmY7cE-XLgN2ihkdlkmLbaYt_z9TYXLxAf_dhJWX5Pifg/MKAx7E80ANnatXnvdzX33DDsqZ9lKBXGA-0uj6uANDA,https://www.youtube.com//watch?v=KkjHRGEsU2w,,Oe,De,DD,Te,Se,Play,Blast,Info,F,F
Tony Horton,FF-Te/Se-PB/C(S),https://v5.airtableusercontent.com/v1/21/21/1696708800000/dmf-vLfFCwKaUCSdLBTkQQ/hqtMAc1dIq6EcUeHDSoSoowJ76mSZw-LiN4iEP8o7kpDSJ5CZMo58Fw8rDmaTB8z0RghAGU6PEkHdCSZ1R5IYA/sX5XD74NGpLeamJV6Zz_Okz2kxSMR_K7ig2WKizFjTc,https://www.youtube.com//watch?v=xt-ZW5C_JZY,,Oe,De,DD,Te,Se,Play,Blast,Info,F,F
William Dafoe,FM-Te/Se-PB/?(?),,https://www.youtube.com//watch?v=JVZDvlzuUFs,,Oe,De,DD,Te,Se,,,,F,M
Courteney Cox,??-Te/Se-PB/?(?),https://v5.airtableusercontent.com/v1/21/21/1696708800000/_VBDNR-OcBVR258GSsejAg/IMvAgrjqAu35SjM9Yt5nfqLIvVDwyuIpADyFesmmpZWIHesJqJqsYq0hl6TxBFtzjSfxO8xAe7asLzvt4MlkRg/b3cEoh-5fs-Dz_AgpPzNLN4WWTXO2DmKh7zoQv0wMKk,https://www.youtube.com//watch?v=VuKaY39WbFU,,Oe,De,DD,Te,Se,,,,,
Amanda D,MM-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/_rYzy9R3yEaITxWNvS0LTA/bb5OeC5A2YdUTPtSfRoD-ckcVwUVm17R406RI6ojQbN6v9JgRszQHa52kXaaOeNkY1kdHo9Wb6R0CUS4tcByzg/2gLlmLsiw3e9GoYFOoagTRrQkd07EdrUyZfFQmCYTWI,https://www.youtube.com//watch?v=erla7Ley4Tw,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,M,M
Frances Haugen,MM-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/w3FhKNwcpIR7fs55qFwiXg/vES5CEJ6dLGY4aYDgg3TsyHcrZv3B6PNH_wB2TM0hWDokYoGqoF0E8n4_qQrWxI8ZnGzDGTQvBTKQqJgiP-9qw/YhX8NZII1oUJTCSH9BAHZerG86Aa_NHgMyX1OBj1eWw,https://www.youtube.com//watch?v=GhZ5FWMPSQQ,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,M,M
Jeanette H-H,MF-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/1pOhVzgd93rOtZi5igolbg/6sCWJwJ--C7ZHi-F6hciAB6saHW024BmAGpHwzPl56SxphrX0K7dPaShRECMHoq6-IvKRREiixW8gBfNzkg-bQ/jRajeNztpC2_Zw3P07SfnKqv1cSyHkiSM9Rxy8ZqeKs,https://www.youtube.com//watch?v=qQX9CirTHq4,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,M,F
Kat Zvodar Graham,FM-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Bj-StcZnBxD9bBVKVUS53A/ElG379TG-d-EEXVqSjTrVTBl0aZ4B6j0JBFR-IkptMDlYftiqOlqoGejnSj0nl8T3BhMLEEUQsrTUH4ruwhdDA/RKr4P--n9LR2XgLV9orXd__HUu_0GxDXlIkPGdGb6m8,,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,F,M
Kat G.,FM-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/IvYyLRZFmsn0Uf1XtfmF1Q/nPY7Zlb263T_oI4RWf9W9XeYlDsKs_TEqbCZ7ozS6_NNvSAv2rh0UsUdWGmax5HxIbcq-7jjr7YslCyCxZK-KQ/TN6-u7KCGmSMCwD0aVkbzc2KnFnx7-PdzS85w6J8n64,https://www.youtube.com//watch?v=xFIabsrz2KQ,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,F,M
Maartje,FM-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Zm3aToFpPpd0Sd009h_5Sw/moaWoOhq7wBspuVobs0EDbSS9MYCaIvdILk830U4Y9vDI7Nf32i38XrJKkz1jP04VAgdvPU1H--dqzlROQ7oFg/xTVpHyApBYVE7Ao_6Y7Geu_QY2Nq0oMJUqhr0KDy0Iw,https://www.youtube.com//watch?v=YqUkzSOK6ZM,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,F,M
John Travolta,FF-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/XrET0WD2seKl1RPBT_HH9g/U4vs1GC-2AhJ_4rP_FccVkaTvUXemvvr9JAnK6z_I-b8ocUrl6Kv4VdflvVIHFcWh8TKHMEpgbfJCL0_zZanGQ/Rl7MYQyEslhncn1QKIbt2-_fDfYxSNCl_HdKKplIaIc,https://www.youtube.com//watch?v=EUH1Sk8uY6w,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,F,F
Alejandra Costello,FF-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/KHFCs19MxcvT8o8Q0-nbbA/b0me8TAF6Z-Dr0qLBlvGmFEof_op5bCBz9vM2YzOQRbi0UwBWPtGkxAkUsi7rwJUlIo3nVQwkrDicTW4rhHcYQ/MA1b0ttLmYtrDRMi14fVkKim6HEZTfoudvkMxIa3I9A,https://www.youtube.com//watch?v=JS-uLyd7svo,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,F,F
Joni Weiss,FF-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/uHoDKPUmn-DtoTs7OZ44lQ/JnWbCucxOyKOSQxHlgkbCQyk_01Hx9RA9hb9bsE1upkRFvGSuRRshooNRExgRpATh1LPlJtesFg_O03odXIJKA/bxMO1giQT10Ut8cwDoCGTHdyRO8H2Si3HlTTiYmvfI0,https://www.youtube.com//watch?v=VReIoUkM0fs,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,F,F
Unknown ENTJ 1,??-Te/Ni-BS/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/YbzFRRYfEmI-IF_TmjFGCQ/2cYQfcsrGdh_8HAQhmrc4OCbeIXbKYW2J67bNQSHkJc6qn1-61bA9TDGrtEG7V4uoEUx7R3NaI7NcYoZ__ZF1g/_DOmF5TF8liomziI9Lz9gH_06cRL6cX73E-gXwwUFN0,https://www.youtube.com//watch?v=t52xKQeCl-g,,Oe,De,DD,Te,Ni,Sleep,Blast,Energy,,
Jodie Foster,MF-Te/Ni-BS/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/RLE9Jpg2lXgMNpjUBjzO2Q/_SG9PtZ7wIF7KNjiX2jajuMXzCrv1gtfMAMPF-PFRvnfjfj7wQac-fc0IBmRP69uWJGaRxqws8VUmr1Nv3WU3Q/mIMMRaBVu7095pgmq9rAJuNCjmQyPL3392lD1v5AsKo,https://www.youtube.com//watch?v=rIKu3y-qy8I,,Oe,De,DD,Te,Ni,Sleep,Blast,Info,M,F
Alicia Marie,MF-Te/Ni-BS/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/BCWwAs-XXu34bzZiRsCaqg/cKEokDNlxgOI-DumLJh0EcMragGRtMEfEMP_6X51cvNACHLKrIrI7CpzgY7fyWSsV3AugxYM8Yh7CVsaCCNptA/timvR0i-veLlT4xMr-EaG8g9EFv8vBYL0yH9Ve8uhk4,https://www.youtube.com//watch?v=nGQBa8YVBNE,,Oe,De,DD,Te,Ni,Sleep,Blast,Info,M,F
Farrah M.,MF-Te/Ni-BS/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/bM51tI-yxRBOBRTYWydHhA/e8UeQg12dT1OcKLWBilAAh6GxbvI86-6dj1MepDMSavUy-wd-SDeHD_K983W_dt8Y4Tdgk7TsCYUDL3XqUHeQw/GBtSF6-Lh7p0680OrNQoF2ikFaww5E0xpCgDWyAxDHU,https://www.youtube.com//watch?v=3CpqxTnqS5Q,,Oe,De,DD,Te,Ni,Sleep,Blast,Info,M,F
Helen Hunt,MF-Te/Ni-BS/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/9EFF8CTe6AUAlyj8NObLnA/3uFIVaIFC6Wntxp9ylplVK1vN9Re4DZqsv4eRbWsNsVmJW5b4yRd40wI_rYa09VcqXln-XdQSWWPnGXiZOxZKg/8X8Qd6jRDGDXzfhwEKWurh68q9OEzBSous48aHq0CFA,https://www.youtube.com//watch?v=7QdHZ4uxyIc,,Oe,De,DD,Te,Ni,Sleep,Blast,Info,M,F
Adelle Ramcharan,FF-Te/Ni-BS/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/OCQ0i0VG78vEsySw5GODig/hQ_phpt2M4CZxMPfRlm-Kl8dk47i9RryIjuGC3dFJXs-YTYgzbg9b-iS5pHYdj0SUX5S7eEWJfEIgAbA0j0rGw/1iB_8sCaCygiHrspDR30v95svJz60BBJwArVxCtXHu4,https://www.youtube.com//watch?v=cQvSVcj9OwQ,,Oe,De,DD,Te,Ni,Sleep,Blast,Info,F,F
Kamala Harris,MF-Te/Ni-BP/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/taUpeZY_US0nRaJdn51kHQ/i91nZ-7AwnfhVf7abCm-4coNSqr1u-YNfXdErgK6pP34z8ctqzLQplcgsp3QmsCi22uvvPCUxLlHKVwtlaTVDA/QdNpf9pzN8orYPH57dkbH3LeGhSTkzSxLOoxDK81Qpo,https://www.youtube.com//watch?v=gKgdR5csNsU,,Oe,De,DD,Te,Ni,Play,Blast,Energy,M,F
Hoda Kotb,MF-Te/Ni-BP/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/KttA7nQp1Ct57PraSfcHpQ/I9-36Bmvyfj1VCsSbIxGOt4JaIXK1JlFuE5D1aDCIS-97yzSAdCzo0IUOlcLQa771AGOhYrD-FBoVxa7MkQ_KQ/1xO76APGeoo2JNQB8YC3fY6W3qn9Uj9pd2OvhZL54-o,https://www.youtube.com//watch?v=iVkx61gsxq4,,Oe,De,DD,Te,Ni,Play,Blast,Energy,M,F
John Maxwell,MF-Te/Ni-BP/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Ij1GriV6YjDEIAo1Vq_Xxg/JrEEmcB4GX4FLTZ3kld_P6ziCOkpm2AP2Q2WtctL1w59DtW-Z-Nk2PT7-lhLwDUTi279cMEAoDBbZhCQOtgHpw/A-I9KX3_CwNlq-Q5xwWDBsetiualPXJstcJ1kgBU0YQ,https://www.youtube.com//watch?v=stlxfLnry2E,,Oe,De,DD,Te,Ni,Play,Blast,Energy,M,F
Roos,MF-Te/Ni-BP/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/_bXYoHsag0XGygwm03u9eg/hZg52ir4dLEiJxnH5Su6D9xYG3LCP5hQVe9wFHy7h9FaXNNDHYrcaPRCMvJJfTvwdlMEIwYr70chvtiWEEHIeA/VUNtS0JFlkZLwjIRA6wrI0CM8A-ClDnfnNpFl56yNFk,https://www.youtube.com//watch?v=aM1rgJ00nIM,,Oe,De,DD,Te,Ni,Play,Blast,Energy,M,F
Michelle Obama,FM-Te/Ni-BP/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/A0mjWMxuR8l1DpWHHCcGQw/q4kM9ULfdrvoVQFoNl7nulSLExeblyjSvSwEg6ZNQv7lUfdRTqUPaBT9eFA_5Wz2skHQQMAq1dt8e_a-mp1CSQ/Y2D7OhbzFlk1UcYlCRTzlbPoFy1usFcXGQ74QRylsc8,https://www.youtube.com//watch?v=8gfqh-ZrHY8,,Oe,De,DD,Te,Ni,Play,Blast,Energy,F,M
Jeff Bridges,FM-Te/Ni-BP/S(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/mgqsfuvBTjQd53uOs_IUhg/hKQIQ12HZAjUKNlZdr6ttBZd4Ka9dQGwDZ-wh9YkmTRmnIN3fyIVBFD5W0SDICjfeS2F0i9nPL5vOeXhnl_CpQ/ykBw9PflK0y38aetiBKogVlKzlMptPTHX2xB6AQ2KDE,https://www.youtube.com//watch?v=vYTZ3U8Gnf0,,Oe,De,DD,Te,Ni,Play,Blast,Energy,F,M
